nameseq,k1,k2,k3,k4,k5,label
AE006468.2/4399812-4399927,1.9255622926844693,3.7664337743908045,5.32742590063157,6.264825975670393,6.575212064914737,rRNA
AE006468.2/3566749-3566634,1.94544525451658,3.8031932679853173,5.352467593370811,6.311242900430008,6.610926350629024,rRNA
AE006468.2/294522-294637,1.9325623606204698,3.792345933585905,5.391855531929346,6.357659825189623,6.646640636343309,rRNA
AE006468.2/4100145-4101686,1.9801238095142004,3.95239695921763,5.901206036780741,7.763197544597107,9.320666659408333,rRNA
AE006468.2/289180-290721,1.979899588838468,3.951774089262962,5.901104816492223,7.764244976586946,9.325941779004209,rRNA
AE006468.2/3572014-3570473,1.980425337433822,3.952707383147044,5.901191398381813,7.763313784454271,9.323676536185376,rRNA
AE006468.2/2801663-2800122,1.980425337433822,3.95261014153437,5.9014121969458975,7.7640266743510535,9.326235098235914,rRNA
AE006468.2/4394688-4396230,1.9802233238024178,3.9526178960593175,5.902480657710388,7.766410025886288,9.330297894640772,rRNA
AE006468.2/4100150-4101684,1.979481101088876,3.9511678591398245,5.900147226196463,7.762763510063026,9.31906715879973,rRNA
AE006468.2/289185-290719,1.979227412689439,3.95050414444261,5.899902472303557,7.763973413948499,9.324366397165802,rRNA
AE006468.2/2801658-2800124,1.979773662404631,3.9514111268742416,5.900386238907872,7.7637541142480835,9.324661057504384,rRNA
AE006468.2/3572009-3570475,1.979773662404631,3.9514791877704543,5.900130814530454,7.763037967021485,9.322090797260273,rRNA
AE006468.2/4394693-4396228,1.9795772152020612,3.951379151865731,5.901389229960946,7.766144237620993,9.32873915060573,rRNA
AE006468.2/2801658-2800127,1.9793693436680377,3.9506242738258157,5.89936855547632,7.761444714916669,9.322477977053621,rRNA
AE006468.2/3572009-3570478,1.9793693436680377,3.950707192468621,5.8991126302667904,7.760727162561435,9.319902670487046,rRNA
AE006468.2/4100150-4101681,1.9790677981575895,3.950383619887466,5.899129074112538,7.760452167100114,9.316873095563556,rRNA
AE006468.2/289185-290716,1.978821297139846,3.949727006175887,5.898883840310037,7.76166444489772,9.322182738193437,rRNA
AE006468.2/4394693-4396225,1.9791678995154285,3.9506056217131267,5.900372331333284,7.7638391865263685,9.326563649320892,rRNA
AE006468.2/2799768-2796761,1.9787800705716672,3.946290696900343,5.893403705236153,7.797198702807911,9.568053649996227,rRNA
AE006468.2/3570080-3567089,1.9795987006322202,3.9489158702194334,5.897376630499008,7.800426722369453,9.566851539728697,rRNA
